delta,theta,alpha,beta,mano
1.7653677773437255,1.5775618426879325,1.4804544986581394,0.9159063408440445,close
1.8125777974722526,1.4612374203333462,1.3912322845487375,1.1004876832570087,close
1.743153592549508,1.4289435809745565,1.2056268702469524,0.7968172194930765,close
1.6153883507321596,1.578063623315657,0.9411119650958857,0.8850271798347462,close
1.616665589811313,1.6004066796214194,0.8928431898227208,0.8702494098266619,close
1.9898419153209952,1.360599014985161,1.1127216644520599,0.8274020381978858,close
1.6510103872886552,1.6438221542712597,1.2586911609247644,0.862784717886076,close
1.618671364187508,1.6057307709423851,0.8960357864783793,0.8830683819023352,close
1.8138530244625357,1.362014057694716,1.3363654973212409,1.071254695184563,close
1.9684324655648122,1.331472308585737,1.1166177467272163,0.8786102188920032,close
1.9263012647679556,1.392210304984804,1.087389295612066,0.8562570270505941,close
1.7967275574987394,1.2107947774247692,0.9031795954695352,0.9981852096161565,close
1.5371164292643402,1.3390939251463363,1.296856404842365,1.246622480436455,close
1.4787580341793511,1.6080270579395917,1.415122594701845,0.9751810892569017,close
1.675111581986073,1.5807415299629155,1.129429494991254,0.962675449337227,close
0.7982480429682379,1.105491953899354,1.1901614534163842,1.1884966635780578,close
1.752500870784597,1.4282890331579374,1.1743536299393644,0.7091305455330847,close
1.8756656355079815,1.343729353006309,1.210691812817375,0.8202659731370056,close
1.9051904286573147,1.3541424192628495,1.2034576640583279,0.8266009252840723,close
1.976504384069164,1.3472843846630815,1.0993826630439854,0.8140139068424027,close
1.644042880389342,1.6152096586644524,1.099491025578912,0.9147866306665838,close
1.9388886157713425,1.3592894855484754,1.119635977709823,0.8273755393878482,close
1.7573974716485596,1.5985885585094142,1.4757258336826231,0.9472272246388236,close
1.8451165263382154,1.3785808265061334,1.2457808777330925,0.8150425660634391,close
1.3257492184481152,1.3114754823679973,1.2747833955812422,1.2602153096764785,close
1.9751264662373273,1.3471391827809927,1.1007260941857053,0.8129843188646226,close
